City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather description
645,Karksi-Nuia,EE,58.1033,25.5628,33.78,91,100,6.06,overcast clouds
646,Durango,MX,24.8333,-104.8333,48.88,28,35,2.73,scattered clouds
647,Yenangyaung,MM,20.4667,94.8833,69.98,39,5,3.4,clear sky
648,Tres Arroyos,AR,-38.3739,-60.2798,90.21,28,1,7.47,clear sky
649,Atasu,KZ,48.6814,71.6433,1.13,71,1,7.38,clear sky
650,Kutum,SD,14.2,24.6667,80.98,11,55,6.35,broken clouds
651,Axim,GH,4.8699,-2.2405,84.02,69,89,10.69,overcast clouds
652,La Asuncion,VE,11.0333,-63.8628,79.38,73,5,16.26,clear sky
653,Sur,OM,22.5667,59.5289,70.84,65,10,23.29,clear sky
654,Goderich,CA,43.7501,-81.7165,35.91,89,100,28.21,light snow
655,Sibolga,ID,1.7427,98.7792,75.51,90,100,2.66,overcast clouds
656,Zwedru,LR,6.0667,-8.1281,97.66,24,4,2.64,clear sky
657,Isangel,VU,-19.55,169.2667,75.76,74,100,9.22,overcast clouds
658,Narasannapeta,IN,18.4167,84.05,71.64,85,6,3.94,clear sky
659,Batangafo,CF,7.3008,18.2833,98.67,11,8,5.03,clear sky
660,Floro,NO,61.5996,5.0328,33.96,80,0,6.91,clear sky
661,Ilebo,CD,-4.3167,20.5833,91.51,41,81,2.77,broken clouds
662,Kudahuvadhoo,MV,2.6708,72.8944,81.27,75,26,18.14,scattered clouds
663,Trezzano Sul Naviglio,IT,45.4231,9.0664,39.76,89,75,4.0,light rain
664,Kuloy,RU,61.0305,42.4925,31.71,91,100,14.47,overcast clouds
665,Sapernoye,RU,60.7167,29.9505,32.67,88,100,17.67,overcast clouds
666,Vega De Alatorre,MX,20.0333,-96.6333,75.45,64,38,11.43,scattered clouds
667,Lamar,US,33.6668,-95.5836,46.36,50,0,18.41,clear sky
668,Banapur,IN,19.7833,85.1833,73.47,81,52,7.09,broken clouds
669,San Buenaventura,MX,27.0833,-101.5333,56.48,50,75,6.91,broken clouds
670,Uyemskiy,RU,64.4743,40.8524,32.05,86,100,17.9,overcast clouds
671,Warrington,GB,53.3925,-2.5802,41.99,77,20,13.8,few clouds
672,Robore,BO,-18.3333,-59.75,86.09,66,20,0.0,few clouds
673,Mecca,SA,21.4267,39.8261,79.5,47,0,10.4,clear sky
674,Nemuro,JP,43.3236,145.575,22.73,66,34,9.04,scattered clouds
675,Playas,EC,-2.6333,-80.3833,73.42,85,100,6.78,light rain
676,Edirne,TR,41.6772,26.556,61.81,69,0,22.82,clear sky
677,Caravelas,BR,-17.7125,-39.2481,83.98,62,50,8.93,scattered clouds
678,Iisalmi,FI,63.5592,27.1907,31.14,97,100,8.57,light snow
679,Rundu,NA,-17.9333,19.7667,84.56,49,100,1.05,overcast clouds
680,Kedrovyy,RU,56.1667,91.8167,9.01,94,100,8.97,light snow
